The copyright to the intellectual property of this file is held by www.climatedata.info
Title,"Temperature, CO2 and Milankovitch cycles - EPICA",,
Source,http://www.ncdc.noaa.gov/paleo/indexice.html,,
Source,http://www1.ncdc.noaa.gov/pub/data/paleo/climate_forcing/orbital_variations/berger_insolation/,,
BP,Temperature,CO2,Milankovich
-400000,0.51,279.269,472.73
-399900,0.452,278.489,472.19
-399800,0.39,277.708,471.81
-399700,0.352,277.1,471.42
-399600,0.31,277.04,471.03
-399500,0.136,276.992,470.64
-399400,-0.07,276.943,470.26
-399300,0.236,276.894,469.87
-399200,0.64,276.845,469.48
-399100,0.524,276.796,469.09
-399000,0.36,276.747,468.71
-398900,0.407,276.698,468.32
-398800,0.47,276.649,468.17
-398700,0.024,276.6,468.03
-398600,-0.57,276.551,467.88
-398500,-0.718,276.502,467.74
-398400,-0.94,276.454,467.59
-398300,-0.718,276.405,467.45
-398200,-0.397,276.356,467.3
-398100,-0.22,276.3,467.16
-398000,-0.206,275.92,467.01
-397900,-0.2,275.477,466.87
-397800,0.117,275.035,466.91
-397700,0.29,274.592,466.96
-397600,-0.071,274.15,467.01
-397500,-0.28,273.707,467.06
-397400,-0.262,273.265,467.11
-397300,-0.25,272.823,467.16
-397200,-0.362,272.38,467.2
-397100,-0.45,271.938,467.25
-397000,-0.425,271.495,467.3
-396900,-0.4,271.053,467.35
-396800,-0.641,270.61,467.57
-396700,-0.93,270.168,467.79
-396600,-0.938,269.726,468
-396500,-0.95,269.283,468.22
-396400,-1.03,268.841,468.44
-396300,-1.157,268.398,468.66
-396200,-1.23,267.956,468.88
-396100,-1.28,267.513,469.09
-396000,-1.31,267.071,469.31
-395900,-1.512,266.629,469.53
-395800,-1.71,266.186,469.94
-395700,-1.44,265.744,470.35
-395600,-0.98,265.301,470.76
-395500,-1.013,264.859,471.18
-395400,-1.076,264.416,471.59
-395300,-1.12,263.974,472
-395200,-1.694,263.532,472.41
-395100,-2.1,263.089,472.82
-395000,-2.189,262.647,473.23
-394900,-2.3,262.204,473.65
-394800,-2.221,261.762,474.13
-394700,-2.1,261.319,474.61
-394600,-2,260.7,475.1
-394500,-2.211,261.489,475.58
-394400,-2.43,262.804,476.07
-394300,-2.411,264.119,476.55
-394200,-2.387,265.434,477.04
-394100,-2.37,266.749,477.52
-394000,-2.495,268.064,478
-393900,-2.61,269.379,478.49
-393800,-2.665,270.694,479.07
-393700,-2.733,272.009,479.65
-393600,-2.78,273.6,480.23
-393500,-3.055,272.524,480.81
-393400,-3.32,271.162,481.39
-393300,-3.323,269.799,481.98
-393200,-3.327,268.437,482.56
-393100,-3.33,267.075,483.14
-393000,-3.467,265.712,483.72
-392900,-3.594,264.35,484.3
-392800,-3.67,262.988,484.88
-392700,-3.853,261.625,485.46
-392600,-4.03,260.263,486.04
-392500,-4.083,259.5,486.62
-392400,-4.164,261.011,487.21
-392300,-4.26,262.061,487.79
-392200,-4.37,263.11,488.37
-392100,-4.505,264.159,488.95
-392000,-4.65,265.209,489.53
-391900,-4.665,266.3,490.11
-391800,-4.682,265.502,490.67
-391700,-4.7,264.672,491.23
-391600,-4.782,263.841,491.78
-391500,-4.869,263.01,492.34
-391400,-4.96,262.179,492.9
-391300,-4.888,261.349,493.45
-391200,-4.813,260.518,494.01
-391100,-4.73,259.687,494.57
-391000,-4.715,258.856,495.12
-390900,-4.698,258.026,495.68
-390800,-4.68,257.195,496.17
-390700,-4.891,256.364,496.65
-390600,-5.118,255.533,497.13
-390500,-5.35,254.703,497.62
-390400,-5.547,253.872,498.1
-390300,-5.749,253.041,498.59
-390200,-5.98,252.21,499.07
-390100,-5.934,251.379,499.56
-390000,-5.879,250.549,500.04
-389900,-5.8,250.1,500.52
-389800,-5.915,250.495,500.91
-389700,-6.125,250.766,501.3
-389600,-6.334,251.037,501.69
-389500,-6.48,251.307,502.07
-389400,-6.564,251.578,502.46
-389300,-6.628,251.849,502.85
-389200,-6.7,252.119,503.24
-389100,-6.49,252.39,503.62
-389000,-6.249,252.661,504.01
-388900,-6.009,252.932,504.4
-388800,-5.86,253.202,504.64
-388700,-5.916,253.473,504.88
-388600,-5.956,253.744,505.12
-388500,-5.99,254.014,505.37
-388400,-5.766,254.285,505.61
-388300,-5.574,254.556,505.85
-388200,-5.37,254.826,506.09
-388100,-5.364,255.2,506.34
-388000,-5.357,255.329,506.58
-387900,-5.35,255.538,506.82
-387800,-5.17,255.746,506.94
-387700,-4.968,255.955,507.06
-387600,-4.74,256.164,507.18
-387500,-4.685,256.372,507.3
-387400,-4.622,256.581,507.43
-387300,-4.56,256.789,507.55
-387200,-4.307,256.998,507.67
-387100,-4.06,257.206,507.79
-387000,-3.88,257.415,507.91
-386900,-3.291,257.623,508.03
-386800,-2.67,257.832,508.05
-386700,-2.836,258.041,508.08
-386600,-3.087,258.249,508.1
-386500,-3.29,258.458,508.13
-386400,-3.758,258.666,508.15
-386300,-4.32,258.875,508.18
-386200,-4.318,259.083,508.2
-386100,-4.314,259.2,508.22
-386000,-4.31,260.242,508.25
-385900,-4.524,260.966,508.27
-385800,-4.754,261.69,508.2
-385700,-4.93,262.414,508.13
-385600,-4.908,263.138,508.05
-385500,-4.891,263.862,507.98
-385400,-4.88,264.6,507.91
-385300,-4.623,263.863,507.84
-385200,-4.36,263.11,507.76
-385100,-4.535,262.358,507.69
-385000,-4.84,261.606,507.62
-384900,-5.18,260.854,507.55
-384800,-5.238,260.101,507.45
-384700,-5.304,259.349,507.35
-384600,-5.37,258.597,507.26
-384500,-5.458,258.1,507.16
-384400,-5.547,257.216,507.06
-384300,-5.63,256.556,506.97
-384200,-5.781,255.896,506.87
-384100,-5.925,255.236,506.77
-384000,-6.06,254.576,506.67
-383900,-5.996,253.916,506.58
-383800,-5.934,253.257,506.43
-383700,-5.87,252.597,506.29
-383600,-5.901,251.937,506.14
-383500,-5.934,251.277,506
-383400,-5.97,250.617,505.85
-383300,-5.707,249.957,505.71
-383200,-5.419,249.297,505.56
-383100,-5.09,248.638,505.42
-383000,-5.136,247.978,505.27
-382900,-5.189,247.318,505.12
-382800,-5.24,246.658,505.03
-382700,-5.207,245.8,504.93
-382600,-5.176,245.846,504.83
-382500,-5.15,245.911,504.74
-382400,-4.894,245.976,504.64
-382300,-4.677,246.041,504.54
-382200,-4.52,246.106,504.45
-382100,-4.155,246.171,504.35
-382000,-3.76,246.236,504.25
-381900,-3.954,246.301,504.16
-381800,-4.268,246.366,504.11
-381700,-4.6,246.431,504.06
-381600,-4.536,246.496,504.01
-381500,-4.468,246.561,503.96
-381400,-4.42,246.626,503.91
-381300,-4.668,246.691,503.87
-381200,-4.92,246.756,503.82
-381100,-4.945,246.8,503.77
-381000,-4.982,246.092,503.72
-380900,-5.02,245.556,503.67
-380800,-5.111,245.02,503.67
-380700,-5.206,244.484,503.67
-380600,-5.28,243.947,503.67
-380500,-5.146,243.411,503.67
-380400,-5.036,242.875,503.67
-380300,-4.97,242.339,503.67
-380200,-4.939,241.803,503.67
-380100,-4.91,241.266,503.67
-380000,-5.045,240.73,503.67
-379900,-5.241,240.194,503.67
-379800,-5.44,239.658,503.82
-379700,-5.551,239.1,503.96
-379600,-5.664,239.154,504.11
-379500,-5.76,239.21,504.25
-379400,-5.78,239.267,504.4
-379300,-5.797,239.323,504.54
-379200,-5.81,239.379,504.69
-379100,-5.861,239.435,504.83
-379000,-5.902,239.492,504.98
-378900,-5.93,239.548,505.12
-378800,-6.119,239.604,505.32
-378700,-6.262,239.66,505.51
-378600,-6.35,239.717,505.71
-378500,-6.577,239.773,505.9
-378400,-6.74,239.829,506.09
-378300,-6.85,239.885,506.29
-378200,-6.578,239.942,506.48
-378100,-6.374,240,506.67
-378000,-6.2,239.183,506.87
-377900,-6.317,238.333,507.06
-377800,-6.419,237.482,507.35
-377700,-6.5,236.631,507.64
-377600,-6.484,235.78,507.93
-377500,-6.471,234.929,508.22
-377400,-6.46,234.079,508.52
-377300,-6.54,233.228,508.81
-377200,-6.609,232.377,509.1
-377100,-6.67,231.526,509.39
-377000,-6.594,230.675,509.68
-376900,-6.526,229.825,509.97
-376800,-6.46,228.974,510.31
-376700,-6.648,228.123,510.65
-376600,-6.829,227,510.98
-376500,-7.01,227.045,511.32
-376400,-7.076,227.111,511.66
-376300,-7.142,227.178,512
-376200,-7.22,227.244,512.34
-376100,-7.23,227.31,512.68
-376000,-7.243,227.377,513.02
-375900,-7.26,227.443,513.36
-375800,-7.295,227.509,513.72
-375700,-7.354,227.575,514.08
-375600,-7.413,227.642,514.45
-375500,-7.45,227.708,514.81
-375400,-7.537,227.774,515.17
-375300,-7.601,227.841,515.54
-375200,-7.66,227.907,515.9
-375100,-7.699,227.973,516.26
-375000,-7.735,228.04,516.63
-374900,-7.78,228.106,516.99
-374800,-7.816,228.172,517.33
-374700,-7.863,228.238,517.67
-374600,-7.911,228.305,518.01
-374500,-7.94,228.371,518.35
-374400,-7.495,228.437,518.69
-374300,-7.176,228.504,519.02
